,date,rooms_cnt,url,price,price_one_metre,space,floor,floors_of_house,adress,source
0,2020-10-20,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2720097994,8900000,122928,72.4,10,33,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
1,2020-10-20,1,https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kotelniki-2864839581,6700000,186111,36.0,17,18,"Московская область, Котельники, жилой комплекс Парковый",Domofond.ru
2,2020-10-20,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2446797271,9900000,92958,106.5,9,15,"мкр. Южный, д. 12",Domofond.ru
3,2020-10-20,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2817836479,11300000,105509,107.1,13,17,"Московская область, Котельники, микрорайон Южный, 8",Domofond.ru
4,2020-10-20,2,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2941906288,6500000,115044,56.5,10,25,"Московская область, Котельники, микрорайон Новые Котельники, 6",Domofond.ru
5,2020-10-20,0,https://www.domofond.ru/kvartira-na-prodazhu-kotelniki-2387824292,3740220,188900,19.8,25,25,"пр-д Яничкин, стр. 19.1",Domofond.ru
6,2020-10-20,0,https://www.domofond.ru/kvartira-na-prodazhu-kotelniki-2913096279,4032000,160000,25.2,11,15,"пр-д Яничкин, стр. 19.2",Domofond.ru
7,2020-10-20,1,https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kotelniki-1672229815,6775320,157200,43.1,4,33,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
8,2020-10-20,1,https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kotelniki-2544354893,6822730,158300,43.1,13,33,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
9,2020-10-20,2,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2913098768,6648750,112500,59.1,6,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
10,2020-10-20,0,https://www.domofond.ru/kvartira-na-prodazhu-kotelniki-2880353627,3856320,164800,23.4,13,25,"пр-д Яничкин, стр. 19.2",Domofond.ru
11,2020-10-20,2,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1106454693,6679660,111700,59.8,2,25,"пр-д Яничкин, стр. 5",Domofond.ru
