,URL,цена квартиры,цена за кв.метр,адрес квартриы,источник
34,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2633309064,6996320,116800,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
35,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2917735427,8063880,135300,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
36,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2917730008,8908920,131400,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
37,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2917729389,7720480,132200,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
38,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2479361802,6445600,115100,"пр-д Яничкин, стр. 19.1",Domofond.ru
39,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2887561380,7954080,136200,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
40,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2627401960,8361360,132300,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
41,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1580257870,8510670,119700,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
42,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1963130342,6681300,96830,"мкр. Южный, стр. 6",Domofond.ru
43,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1961028455,6681300,96830,"мкр. Южный, стр. 6",Domofond.ru
44,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1966650607,6681300,96830,"мкр. Южный, стр. 6",Domofond.ru
45,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-197249792,6750250,97830,"мкр. Южный, д. 14",Domofond.ru
46,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1993767117,6681300,96830,"мкр. Южный, стр. 6",Domofond.ru
47,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1985785229,6681300,96830,"мкр. Южный, стр. 6",Domofond.ru
48,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1968523813,6681300,96830,"мкр. Южный, стр. 6",Domofond.ru
49,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1991012093,6681300,96830,"мкр. Южный, стр. 6",Domofond.ru
50,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2512689438,6739460,112700,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
51,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1576092489,9500000,130495,"Московская область, Котельники, Кузьминская улица, 7",Domofond.ru
52,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-197179738,6270990,93041,"мкр. Южный, д. 14",Domofond.ru
53,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-197272045,6270990,93041,"мкр. Южный, д. 14",Domofond.ru
54,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-197250046,6270990,93041,"мкр. Южный, д. 14",Domofond.ru
55,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2851841839,6888500,115000,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
56,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2851842620,6424640,118100,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
57,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2906666213,8956380,132100,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
58,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1532332539,9180120,135400,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
59,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2627137777,8008650,136900,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
60,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2626925809,7738000,132500,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
61,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2625849252,7991100,136600,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
62,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2626929375,7926750,135500,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
63,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2625529127,8294500,132500,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
64,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2627744491,9132660,134700,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
65,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2364320077,7802240,133600,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
66,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2085866104,8514280,131800,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
67,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2633332634,7920900,135400,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
68,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2545522808,7879950,134700,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
69,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2544510489,8204560,137200,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
70,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2851842601,6104280,118300,"пр-д Яничкин, стр. 19.1",Domofond.ru
71,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2895879135,8137500,130200,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
72,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1770510373,7496520,107400,"пр-д Яничкин, стр. 19.1",Domofond.ru
73,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2634765632,6259370,115700,"пр-д Яничкин, стр. 19.2",Domofond.ru
74,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2778874262,6490000,106393,"Московская область, Котельники, микрорайон Новые Котельники, 2",Domofond.ru
75,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2512670803,6160800,120800,"пр-д Яничкин, стр. 19.1",Domofond.ru
76,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1532604850,8177400,129800,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
77,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2367799420,6311200,112700,"пр-д Яничкин, стр. 19.1",Domofond.ru
78,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2480030448,7795200,112000,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
79,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1533522806,7920900,135400,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
80,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-195943134,6681300,96830,"мкр. Южный, ЖК «Зеленый остров»",Domofond.ru
81,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1962203529,6681300,96830,"мкр. Южный, ЖК «Зеленый остров»",Domofond.ru
82,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-195803580,6681300,96830,"мкр. Южный, ЖК «Зеленый остров»",Domofond.ru
83,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1971131434,6681300,96830,"мкр. Южный, ЖК «Зеленый остров»",Domofond.ru
84,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1994033791,6681300,96830,"мкр. Южный, ЖК «Зеленый остров»",Domofond.ru
85,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1971586610,6681300,96830,"мкр. Южный, ЖК «Зеленый остров»",Domofond.ru
86,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1960118897,6681300,96830,"мкр. Южный, стр. 6",Domofond.ru
87,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2918575616,9200000,109394,"Московская область, Котельники, улица Строителей, 5",Domofond.ru
88,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2916573314,9500000,153226,"Московская область, Котельники, 3-й Покровский проезд, 4",Domofond.ru
89,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2918416415,6000000,119284,"Московская область, Котельники, микрорайон Силикат, 6",Domofond.ru
90,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2365940317,7447200,107000,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
91,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2790067293,5023160,141100,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
92,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2567808257,5391750,136500,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
93,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2917707208,6996900,124500,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
94,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2917706927,6480320,123200,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
95,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2917706516,6350400,117600,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
96,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2480962260,6366330,124100,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
97,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2913106425,7761360,132900,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
98,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2913106370,8069840,135400,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
99,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2913107106,8177400,129800,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
100,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2913106305,8131250,130100,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
101,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2913106868,8168750,130700,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
102,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2913106101,8262340,127900,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
103,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2913098768,6648750,112500,"пр-д Яничкин, стр. 19.1",Domofond.ru
104,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2913098804,6717660,108700,"пр-д Яничкин, стр. 19.1",Domofond.ru
105,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2913041799,8237500,131800,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
106,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2546115336,8624100,133500,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
107,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2912942162,8983500,132500,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
108,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1771328509,8288240,132400,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
109,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2365752608,6608580,117800,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
110,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2871043443,6800000,130769,"Московская область, Котельники, микрорайон Южный, 6",Domofond.ru
111,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2635080896,7081200,126000,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
112,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2365614202,7068360,118200,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
113,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2833582672,6676250,122500,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
114,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2724257306,6432980,122300,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
115,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-195939427,6270990,93041,"мкр. Южный, д. 14",Domofond.ru
116,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2918039716,8000000,114286,"Московская область, Котельники, микрорайон Южный, 8",Domofond.ru
117,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2921303871,9400000,95918,"Московская область, Котельники, улица Строителей, 5",Domofond.ru
118,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2691294493,6564000,120000,"пр-д Яничкин, стр. 19.1",Domofond.ru
119,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2545201532,8150000,130400,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
120,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-195941379,6681300,96830,"мкр. Южный, ЖК «Зеленый остров»",Domofond.ru
121,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1968676941,6681300,96830,"мкр. Южный, ЖК «Зеленый остров»",Domofond.ru
122,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1966641509,6681300,96830,"мкр. Южный, ЖК «Зеленый остров»",Domofond.ru
123,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1969923887,6681300,96830,"мкр. Южный, ЖК «Зеленый остров»",Domofond.ru
124,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1866381786,6161990,113900,"пр-д Яничкин, стр. 19.2",Domofond.ru
125,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2916666342,5300000,117517,"Московская область, Котельники, Новая улица, 9",Domofond.ru
126,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1533249731,8339860,129100,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
