,date,rooms_cnt,url,price,price_one_metre,space,floor,floors_of_house,adress,source
32,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2690586670,9027040,101200,89.2,23,25,"пр-д Яничкин, стр. 19.2",Domofond.ru
33,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2511627475,8384000,104800,80.0,25,25,"пр-д Яничкин, стр. 19.1",Domofond.ru
34,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2364352351,7809210,93300,83.7,4,15,"пр-д Яничкин, стр. 19.2",Domofond.ru
35,2020-10-23,2,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2511363766,6240840,119100,52.4,3,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
36,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2511014084,7377450,107700,68.5,13,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
37,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2086011517,9242880,99600,92.8,2,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
38,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-1974469651,8016240,105200,76.2,14,15,"пр-д Яничкин, стр. 19.2",Domofond.ru
39,2020-10-23,1,https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kotelniki-2807128994,5389920,136800,39.4,25,25,"пр-д Яничкин, стр. 19.2",Domofond.ru
40,2020-10-23,0,https://www.domofond.ru/kvartira-na-prodazhu-kotelniki-2735271519,3791700,191500,19.8,10,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
41,2020-10-23,2,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2510381631,7117200,108000,65.9,2,25,"пр-д Яничкин, стр. 4",Domofond.ru
42,2020-10-23,2,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2510647425,7636120,109400,69.8,6,15,"пр-д Яничкин, стр. 19.2",Domofond.ru
43,2020-10-23,2,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2880357979,6453720,109200,59.1,11,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
44,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-1866381778,7322400,113000,64.8,16,25,"пр-д Яничкин, стр. 19.2",Domofond.ru
